Mineral,Stage,Country,Year,Value_kt
Copper,Mining,Chile,2024,5476
Copper,Mining,Chile,2030,5505
Copper,Mining,Chile,2035,4730
Copper,Mining,Chile,2040,4164
Copper,Refining,China,2024,11860
Copper,Refining,China,2030,15688
Copper,Refining,China,2035,15688
Copper,Refining,China,2040,15688
Copper,Mining,Democratic Republic of Congo,2024,2876
Copper,Mining,Democratic Republic of Congo,2030,3578
Copper,Mining,Democratic Republic of Congo,2035,2662
Copper,Mining,Democratic Republic of Congo,2040,2156
Copper,Refining,Russia,2024,995
Copper,Refining,Russia,2030,1110
Copper,Refining,Russia,2035,1110
Copper,Refining,Russia,2040,1105
Copper,Mining,Peru,2024,2631
Copper,Mining,Peru,2030,2425
Copper,Mining,Peru,2035,2117
Copper,Mining,Peru,2040,1138
Copper,Refining,Chile,2024,1966
Copper,Refining,Chile,2030,1867
Copper,Refining,Chile,2035,1466
Copper,Refining,Chile,2040,1294
Copper,Mining,China,2024,1815
Copper,Mining,China,2030,1962
Copper,Mining,China,2035,1870
Copper,Mining,China,2040,1676
Copper,Refining,Japan,2024,1578
Copper,Refining,Japan,2030,1614
Copper,Refining,Japan,2035,1614
Copper,Refining,Japan,2040,1614
Copper,Mining,Russia,2024,1101
Copper,Mining,Russia,2030,1194
Copper,Mining,Russia,2035,1079
Copper,Mining,Russia,2040,998
Copper,Refining,India,2024,655
Copper,Refining,India,2030,1060
Copper,Refining,India,2035,1060
Copper,Refining,India,2040,1060
Copper,Mining,United States,2024,1138
Copper,Mining,United States,2030,1142
Copper,Mining,United States,2035,833
Copper,Mining,United States,2040,675
Copper,Mining,Rest of world,2024,7757
Copper,Mining,Rest of world,2030,8465
Copper,Mining,Rest of world,2035,6503
Copper,Mining,Rest of world,2040,5029
Copper,Refining,Rest of world,2024,9890
Copper,Refining,Rest of world,2030,12327
Copper,Refining,Rest of world,2035,10975
Copper,Refining,Rest of world,2040,10382
Cobalt,Mining,Democratic Republic of Congo,2024,181.79631578947365
Cobalt,Mining,Democratic Republic of Congo,2030,199.3860082951715
Cobalt,Mining,Democratic Republic of Congo,2035,145.04278936674288
Cobalt,Mining,Democratic Republic of Congo,2040,107.61473684210527
Cobalt,Refining,China,2024,196.1433565869552
Cobalt,Refining,China,2030,251.70169564264117
Cobalt,Refining,China,2035,254.45775939294785
Cobalt,Refining,China,2040,254.45775939294785
Cobalt,Mining,Indonesia,2024,33.23049476933489
Cobalt,Mining,Indonesia,2030,58.35878651008277
Cobalt,Mining,Indonesia,2035,58.91434206563832
Cobalt,Mining,Indonesia,2040,58.91434206563832
Cobalt,Refining,Finland,2024,20.119722414513216
Cobalt,Refining,Finland,2030,19.852262985153157
Cobalt,Refining,Finland,2035,19.662262985153152
Cobalt,Refining,Finland,2040,19.662262985153152
Cobalt,Mining,Russia,2024,6.239744996016705
Cobalt,Mining,Russia,2030,8.249703947837242
Cobalt,Mining,Russia,2035,8.249703947837242
Cobalt,Mining,Russia,2040,8.249703947837242
Cobalt,Refining,Japan,2024,5.648685238955214
Cobalt,Refining,Japan,2030,5.953685238955214
