Entity,Code,Year,Cobalt production as a share of the global total
Australia,AUS,2020,3.9647887
Australia,AUS,2021,3.209091
Australia,AUS,2022,2.9390862
Australia,AUS,2023,2.1932774
Australia,AUS,2024,1.2413793
Canada,CAN,2020,2.5985916
Canada,CAN,2021,2.6430304
Canada,CAN,2022,1.5532995
Canada,CAN,2023,1.7731092
Canada,CAN,2024,1.5517242
China,CHN,2020,1.5492958
China,CHN,2021,1.3333334
Cuba,CUB,2020,2.6760564
Cuba,CUB,2021,2.4242425
Cuba,CUB,2022,1.8781726
Cuba,CUB,2023,1.3865546
Cuba,CUB,2024,1.2068965
Democratic Republic of Congo,COD,2020,69.014084
Democratic Republic of Congo,COD,2021,72.121216
Democratic Republic of Congo,COD,2022,73.09644
Democratic Republic of Congo,COD,2023,73.52941
Democratic Republic of Congo,COD,2024,75.86207
Indonesia,IDN,2020,0.7746479
Indonesia,IDN,2021,1.6363636
Indonesia,IDN,2022,4.8730965
Indonesia,IDN,2023,7.9831934
Indonesia,IDN,2024,9.655172
Madagascar,MDG,2020,0.59859157
Madagascar,MDG,2021,1.6969697
Madagascar,MDG,2022,1.7766497
Madagascar,MDG,2023,1.6806723
Madagascar,MDG,2024,0.8965517
Morocco,MAR,2020,1.6197183
Morocco,MAR,2021,1.3939394
New Caledonia,NCL,2022,1.0152284
New Caledonia,NCL,2023,1.079832
New Caledonia,NCL,2024,0.51724136
Other,,2020,5.380282
Other,,2021,2.7678788
Other,,2022,3.3502538
Other,,2023,2.554622
Other,,2024,2.137931
Papua New Guinea,PNG,2020,2.0704226
Papua New Guinea,PNG,2021,1.7896969
Papua New Guinea,PNG,2022,1.5177665
Papua New Guinea,PNG,2023,1.2899159
Papua New Guinea,PNG,2024,0.9655172
Philippines,PHL,2020,3.169014
Philippines,PHL,2021,2.1818182
Philippines,PHL,2022,1.9796954
Philippines,PHL,2023,1.5966387
Philippines,PHL,2024,1.3103448
Russia,RUS,2020,6.338028
Russia,RUS,2021,4.848485
Russia,RUS,2022,4.6700506
Russia,RUS,2023,3.6554623
Russia,RUS,2024,3
Turkey,TUR,2021,1.4545455
Turkey,TUR,2022,1.0659899
Turkey,TUR,2023,1.0504202
Turkey,TUR,2024,0.9310345
United States,USA,2020,0.4225352
United States,USA,2021,0.3939394
United States,USA,2022,0.2538071
United States,USA,2023,0.21008404
United States,USA,2024,0.10344828
World,OWID_WRL,1901,100
World,OWID_WRL,1902,100
World,OWID_WRL,1903,100
World,OWID_WRL,1904,100
World,OWID_WRL,1905,100
World,OWID_WRL,1906,100
World,OWID_WRL,1907,100
World,OWID_WRL,1908,100
World,OWID_WRL,1909,100
World,OWID_WRL,1910,100
World,OWID_WRL,1911,100
World,OWID_WRL,1912,100
World,OWID_WRL,1913,100
World,OWID_WRL,1914,100
World,OWID_WRL,1915,100
World,OWID_WRL,1916,100
World,OWID_WRL,1917,100
World,OWID_WRL,1918,100
World,OWID_WRL,1919,100
World,OWID_WRL,1920,100
World,OWID_WRL,1921,100
World,OWID_WRL,1922,100
World,OWID_WRL,1923,100
World,OWID_WRL,1924,100
World,OWID_WRL,1925,100
World,OWID_WRL,1926,100
World,OWID_WRL,1927,100
World,OWID_WRL,1928,100
World,OWID_WRL,1929,100
World,OWID_WRL,1930,100
World,OWID_WRL,1931,100
World,OWID_WRL,1932,100
World,OWID_WRL,1933,100
World,OWID_WRL,1934,100
World,OWID_WRL,1935,100
World,OWID_WRL,1936,100
World,OWID_WRL,1937,100
World,OWID_WRL,1938,100
