Entity,Code,Year,Lithium Production
Argentina,ARG,1995,8
Argentina,ARG,1996,8
Argentina,ARG,1997,8
Argentina,ARG,1998,1130
Argentina,ARG,1999,200
Argentina,ARG,2000,200
Argentina,ARG,2001,200
Argentina,ARG,2002,946
Argentina,ARG,2003,960
Argentina,ARG,2004,1970
Argentina,ARG,2005,1980
Argentina,ARG,2006,2900
Argentina,ARG,2007,3000
Argentina,ARG,2008,3170
Argentina,ARG,2009,2220
Argentina,ARG,2010,2950
Argentina,ARG,2011,2950
Argentina,ARG,2012,2700
Argentina,ARG,2013,2500
Argentina,ARG,2014,3200
Argentina,ARG,2015,3600
Argentina,ARG,2016,5800
Argentina,ARG,2017,5700
Argentina,ARG,2018,6400
Argentina,ARG,2019,6300
Argentina,ARG,2020,5900
Argentina,ARG,2021,5966.9123
Argentina,ARG,2022,6377.9364000000005
Argentina,ARG,2023,8630
Argentina,ARG,2024,18000
Asia,OWID_ASI,1995,320
Asia,OWID_ASI,1996,2800
Asia,OWID_ASI,1997,2900
Asia,OWID_ASI,1998,3000
Asia,OWID_ASI,1999,2300
Asia,OWID_ASI,2000,2400
Asia,OWID_ASI,2001,2400
Asia,OWID_ASI,2002,2400
Asia,OWID_ASI,2003,2500
Asia,OWID_ASI,2004,2630
Asia,OWID_ASI,2005,2820
Asia,OWID_ASI,2006,2820
Asia,OWID_ASI,2007,3010
Asia,OWID_ASI,2008,3290
Asia,OWID_ASI,2009,3760
Asia,OWID_ASI,2010,3950
Asia,OWID_ASI,2011,4140
Asia,OWID_ASI,2012,4500
Asia,OWID_ASI,2013,4700
Asia,OWID_ASI,2014,2300
Asia,OWID_ASI,2015,2000
Asia,OWID_ASI,2016,2300
Asia,OWID_ASI,2017,6800
Asia,OWID_ASI,2018,7100
Asia,OWID_ASI,2019,10800
Asia,OWID_ASI,2020,13300
Asia,OWID_ASI,2021,14000
Asia,OWID_ASI,2022,22600
Asia,OWID_ASI,2023,35700
Asia,OWID_ASI,2024,41000
Australia,AUS,1995,2233.4814
Australia,AUS,1996,3882.1355999999996
Australia,AUS,1997,1576.6063
Australia,AUS,1998,1179.9950999999999
Australia,AUS,1999,1505.7013
Australia,AUS,2000,1825.6938
Australia,AUS,2001,2225.7889999999998
Australia,AUS,2002,2204.2165
Australia,AUS,2003,3500
Australia,AUS,2004,3301.4052
Australia,AUS,2005,4839.464999999999
Australia,AUS,2006,6190.2847
Australia,AUS,2007,6836.29
Australia,AUS,2008,6676.0015
Australia,AUS,2009,5504.1165
Australia,AUS,2010,8465.379
Australia,AUS,2011,11700
Australia,AUS,2012,12700
Australia,AUS,2013,10117.35
Australia,AUS,2014,12374.94
Australia,AUS,2015,11928.996
Australia,AUS,2016,14000
Australia,AUS,2017,21300
Australia,AUS,2018,57000
Australia,AUS,2019,45000
Australia,AUS,2020,39700
Australia,AUS,2021,55300
Australia,AUS,2022,74700
Australia,AUS,2023,91700
Australia,AUS,2024,88000
Brazil,BRA,1995,32
Brazil,BRA,1996,32
Brazil,BRA,1997,32
Brazil,BRA,1998,32
Brazil,BRA,1999,32
Brazil,BRA,2000,30
Brazil,BRA,2001,220
Brazil,BRA,2002,224
Brazil,BRA,2003,240
Brazil,BRA,2004,242
Brazil,BRA,2005,242
Brazil,BRA,2006,242
Brazil,BRA,2007,180
Brazil,BRA,2008,160
Brazil,BRA,2009,160
Brazil,BRA,2010,160
Brazil,BRA,2011,320
