Entity,Code,Year,Nickel production as a share of the global total
Australia,AUS,2020,6.7330675
Australia,AUS,2021,5.5311356
Australia,AUS,2022,4.7400613
Australia,AUS,2023,3.9733334
Australia,AUS,2024,2.9729729
Brazil,BRA,2020,3.0717132
Brazil,BRA,2021,2.7838829
Brazil,BRA,2022,2.706422
Brazil,BRA,2023,2.2053332
Brazil,BRA,2024,2.0810812
Canada,CAN,2020,6.6533866
Canada,CAN,2021,4.908425
Canada,CAN,2022,4.373089
Canada,CAN,2023,4.24
Canada,CAN,2024,5.135135
China,CHN,2020,4.7808766
China,CHN,2021,3.9926739
China,CHN,2022,3.4862385
China,CHN,2023,3.12
China,CHN,2024,3.2432432
Indonesia,IDN,2020,30.71713
Indonesia,IDN,2021,38.095238
Indonesia,IDN,2022,48.318043
Indonesia,IDN,2023,54.133335
Indonesia,IDN,2024,59.45946
New Caledonia,NCL,2020,7.9681277
New Caledonia,NCL,2021,6.8131866
New Caledonia,NCL,2022,6.116208
New Caledonia,NCL,2023,6.16
New Caledonia,NCL,2024,2.9729729
Other,,2020,14.860558
Other,,2021,15.714286
Other,,2022,12.35474
Other,,2023,9.066667
Other,,2024,8.1081085
Philippines,PHL,2020,13.306773
Philippines,PHL,2021,14.175824
Philippines,PHL,2022,10.550459
Philippines,PHL,2023,11.013333
Philippines,PHL,2024,8.918919
Russia,RUS,2020,11.2749
Russia,RUS,2021,7.5091577
Russia,RUS,2022,6.788991
Russia,RUS,2023,5.6
Russia,RUS,2024,5.675676
United States,USA,2020,0.66533864
United States,USA,2021,0.6739927
United States,USA,2022,0.5351682
United States,USA,2023,0.43733335
United States,USA,2024,0.21621622
World,OWID_WRL,1900,100
World,OWID_WRL,1901,100
World,OWID_WRL,1902,100
World,OWID_WRL,1903,100
World,OWID_WRL,1904,100
World,OWID_WRL,1905,100
World,OWID_WRL,1906,100
World,OWID_WRL,1907,100
World,OWID_WRL,1908,100
World,OWID_WRL,1909,100
World,OWID_WRL,1910,100
World,OWID_WRL,1911,100
World,OWID_WRL,1912,100
World,OWID_WRL,1913,100
World,OWID_WRL,1914,100
World,OWID_WRL,1915,100
World,OWID_WRL,1916,100
World,OWID_WRL,1917,100
World,OWID_WRL,1918,100
World,OWID_WRL,1919,100
World,OWID_WRL,1920,100
World,OWID_WRL,1921,100
World,OWID_WRL,1922,100
World,OWID_WRL,1923,100
World,OWID_WRL,1924,100
World,OWID_WRL,1925,100
World,OWID_WRL,1926,100
World,OWID_WRL,1927,100
World,OWID_WRL,1928,100
World,OWID_WRL,1929,100
World,OWID_WRL,1930,100
World,OWID_WRL,1931,100
World,OWID_WRL,1932,100
World,OWID_WRL,1933,100
World,OWID_WRL,1934,100
World,OWID_WRL,1935,100
World,OWID_WRL,1936,100
World,OWID_WRL,1937,100
World,OWID_WRL,1938,100
World,OWID_WRL,1939,100
World,OWID_WRL,1940,100
World,OWID_WRL,1941,100
World,OWID_WRL,1942,100
World,OWID_WRL,1943,100
World,OWID_WRL,1944,100
World,OWID_WRL,1945,100
World,OWID_WRL,1946,100
World,OWID_WRL,1947,100
World,OWID_WRL,1948,100
World,OWID_WRL,1949,100
World,OWID_WRL,1950,100
World,OWID_WRL,1951,100
World,OWID_WRL,1952,100
World,OWID_WRL,1953,100
World,OWID_WRL,1954,100
World,OWID_WRL,1955,100
World,OWID_WRL,1956,100
World,OWID_WRL,1957,100
World,OWID_WRL,1958,100
World,OWID_WRL,1959,100
World,OWID_WRL,1960,100
World,OWID_WRL,1961,100
World,OWID_WRL,1962,100
World,OWID_WRL,1963,100
World,OWID_WRL,1964,100
World,OWID_WRL,1965,100
World,OWID_WRL,1966,100
World,OWID_WRL,1967,100
World,OWID_WRL,1968,100
World,OWID_WRL,1969,100
World,OWID_WRL,1970,100
World,OWID_WRL,1971,100
World,OWID_WRL,1972,100
World,OWID_WRL,1973,100
World,OWID_WRL,1974,100
World,OWID_WRL,1975,100
World,OWID_WRL,1976,100
World,OWID_WRL,1977,100
World,OWID_WRL,1978,100
World,OWID_WRL,1979,100
World,OWID_WRL,1980,100
World,OWID_WRL,1981,100
World,OWID_WRL,1982,100
World,OWID_WRL,1983,100
World,OWID_WRL,1984,100
World,OWID_WRL,1985,100
World,OWID_WRL,1986,100
World,OWID_WRL,1987,100
World,OWID_WRL,1988,100
World,OWID_WRL,1989,100
World,OWID_WRL,1990,100
World,OWID_WRL,1991,100
World,OWID_WRL,1992,100
World,OWID_WRL,1993,100
World,OWID_WRL,1994,100
World,OWID_WRL,1995,100
World,OWID_WRL,1996,100
World,OWID_WRL,1997,100
World,OWID_WRL,1998,100
World,OWID_WRL,1999,100
World,OWID_WRL,2000,100
World,OWID_WRL,2001,100
World,OWID_WRL,2002,100
World,OWID_WRL,2003,100
World,OWID_WRL,2004,100
World,OWID_WRL,2005,100
World,OWID_WRL,2006,100
World,OWID_WRL,2007,100
World,OWID_WRL,2008,100
World,OWID_WRL,2009,100
World,OWID_WRL,2010,100
World,OWID_WRL,2011,100
World,OWID_WRL,2012,100
World,OWID_WRL,2013,100
World,OWID_WRL,2014,100
World,OWID_WRL,2015,100
World,OWID_WRL,2016,100
World,OWID_WRL,2017,100
World,OWID_WRL,2018,100
World,OWID_WRL,2019,100
World,OWID_WRL,2020,100
World,OWID_WRL,2021,100
World,OWID_WRL,2022,100
World,OWID_WRL,2023,100
World,OWID_WRL,2024,100
